	OpenFace_TS	RecordingTimestamp	left_x	left_y	right_x	right_y	avg_x	avg_y	ParticipantName	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX	FixationPointY	ValidityLeft	ValidityRight	UnclassifiedIndex
0	55.0	55680.0	784.2914710317731	420.1868897596172	786.740943738214	415.808286059052	785.5162073849933	417.9975879093345	HS-085			Unclassified	0			0	0	1
1	55.1	55780.0	777.2735901801411	423.0778025984768	779.3633738209003	418.3455384717202	778.3184820005207	420.7116705350984	HS-085	1		Fixation	300	778.3184820005207	420.7116705350984	0	0	
2	55.2	55880.0	766.544404871967	427.91496379044406	767.868357330473	422.5092954187991	767.2063811012198	425.2121296046215	HS-085	1		Fixation	300	778.3184820005207	420.7116705350984	0	0	
3	55.3	55980.0	774.2455316369912	429.11342916391646	775.797956878098	424.009221437661	775.0217442575446	426.5613253007885	HS-085	1		Fixation	300	778.3184820005207	420.7116705350984	0	0	
4	55.4	56080.0	771.1951382566358	429.4049870304982	772.6566292207353	424.12234111596337	771.9258837386853	426.7636640732306	HS-085	1		Fixation	300	778.3184820005207	420.7116705350984	0	0	
5	55.5	56180.0	736.9805925855426	418.1228381940223	738.2754081493508	411.9946325330991	737.6280003674465	415.0587353635606	HS-085			Unclassified	0			0	0	2
6	55.6	56280.0	729.6049942105677	423.81210725886393	730.3835724670934	417.163459583314	729.9942833388309	420.487783421089	HS-085	2		Fixation	1300	729.9942833388309	420.487783421089	0	0	
7	55.7	56380.0	739.097161805631	419.7282814494892	740.3823802441412	413.644535069476	739.7397710248857	416.6864082594824	HS-085	2		Fixation	1300	729.9942833388309	420.487783421089	0	0	
8	55.8	56480.0	755.4844113332382	419.9956321088752	757.3626647924737	414.6048298186698	756.4235380628558	417.30023096377255	HS-085	2		Fixation	1300	729.9942833388309	420.487783421089	0	0	
9	55.9	56580.0	756.1663293077219	419.049432180411	758.1525517850164	413.75345728123307	757.1594405463688	416.401444730822	HS-085	2		Fixation	1300	729.9942833388309	420.487783421089	0	0	
10	56.0	56680.0	754.9194007332976	420.055656924265	756.6729033546745	414.6106419923025	755.7961520439858	417.3331494582837	HS-085	2		Fixation	1300	729.9942833388309	420.487783421089	0	0	
